SalePrice,1st_Flr_SF,2nd_Flr_SF,Lot_Area,Overall_Qual,Overall_Cond,Year_Built,Year_Remod/Add,BsmtFin_SF_1,Total_Bsmt_SF,Gr_Liv_Area,TotRms_AbvGrd,Bsmt_Unf_SF,Full_Bath
137500,1054,0,8800,6,7,1963,1963,763,936,1054,6,173,1
142125,1078,0,9717,5,6,1950,1996,49,1078,1078,5,0,1
197600,1929,532,9724,5,7,1952,2002,670,1140,2461,7,470,2
172500,1019,537,17360,6,6,1949,1950,300,782,1556,6,482,2
128000,1063,0,9920,5,5,1954,1954,354,1056,1063,6,412,1
153000,1520,0,9600,6,6,1955,1972,674,1156,1520,7,350,1
132000,1268,0,7800,5,6,1954,1954,540,1268,1268,7,728,1
178000,1128,0,11380,6,8,1966,2008,944,1080,1128,5,136,1
154300,1105,1169,11600,5,5,1960,1960,443,1105,2274,12,662,2
190000,1888,0,16492,6,6,1966,2002,247,1517,1888,6,557,2
135000,1604,0,8267,5,5,1958,1958,0,1604,1604,8,1604,2
214000,1480,0,8197,7,5,2003,2009,1188,1480,1480,7,292,2
165500,1700,0,10552,5,5,1959,1959,1018,1398,1700,6,380,1
145000,1314,0,8400,5,6,1957,1957,922,1314,1314,5,392,1
148000,1194,0,8760,6,6,1959,1959,0,1194,1194,6,1194,1
167500,1264,0,9300,5,5,1960,1960,697,1268,1264,6,571,1
108538,1206,0,10725,5,5,1959,1959,936,1206,1206,6,270,1
159500,1580,0,10032,6,5,1959,1959,734,1244,1580,6,510,1
108000,832,505,8382,4,5,1956,1956,0,832,1337,5,832,1
135000,1064,0,10950,5,7,1952,1952,339,864,1064,4,525,1
122500,972,0,10895,5,6,1955,1955,648,972,972,5,324,1
119000,988,0,13587,5,5,1958,1958,532,988,988,5,456,1
109000,1057,0,7922,5,7,1953,2007,731,1057,1057,5,326,1
105000,985,0,7898,4,7,1920,1994,0,576,985,4,576,1
107500,827,0,7200,5,7,1955,2007,0,0,827,5,0,1
144900,1086,0,10200,5,7,1954,2003,320,1086,1086,6,404,1
129000,936,0,5868,5,7,1956,2000,248,936,936,4,448,1
97500,912,546,17503,6,5,1948,1950,0,912,1458,6,912,1
144000,1056,0,6979,6,5,1980,1980,1056,1056,1056,4,0,0
242000,1898,1080,11275,7,7,1967,2007,0,710,2978,11,710,2
132000,816,408,8064,6,8,1948,2004,481,816,1224,5,161,1
154000,1246,0,7500,5,7,1959,1994,340,1246,1246,6,0,1
166000,910,475,8520,5,4,1952,1952,507,910,1385,6,403,2
134800,900,0,7200,5,7,1951,2000,234,900,900,5,180,1
160000,1116,0,10000,6,6,1962,1962,0,1116,1116,5,1116,1
148000,1175,0,7635,5,6,1960,1960,588,1175,1175,6,237,1
192000,1395,0,9760,6,7,1963,1984,717,1395,1395,7,415,1
155000,1051,788,7700,6,5,1966,1966,0,756,1839,7,756,1
80400,1157,687,4800,4,5,1900,1954,48,709,1844,9,661,1
115000,1028,0,8960,5,6,1927,1950,0,1008,1028,5,1008,1
143000,1347,0,5805,5,7,1957,1957,274,1347,1347,6,0,1
107400,840,765,5790,3,6,1915,1950,0,840,1605,8,840,2
80000,747,0,4608,4,6,1945,1950,0,747,747,4,747,1
119000,804,0,7200,5,7,1940,1992,510,788,804,4,278,1
130000,926,0,5500,5,7,1929,2001,234,926,1316,6,0,1
119000,827,424,6900,6,7,1938,2000,0,827,1251,6,827,1
129000,1027,606,11851,5,7,1948,2009,780,1027,1633,7,247,1
12789,832,0,9656,2,2,1923,1970,0,678,832,5,678,1
105900,720,0,8520,6,8,1928,2003,0,624,720,5,624,1
150000,930,636,9600,8,9,1900,2003,0,930,1566,7,930,2
139000,966,686,10800,5,6,1915,1950,686,686,1652,7,0,2
240000,1157,1111,9000,8,9,1890,2002,0,346,2268,7,346,3
149700,1236,0,7407,6,7,1957,1996,600,912,1236,6,312,1
125500,741,622,7740,4,7,1910,1950,0,622,1363,6,622,1
122500,1246,1044,11340,4,6,1885,1950,0,777,2290,11,777,2
140750,868,602,10560,6,7,1922,1994,283,738,1470,6,455,1
128500,1030,582,5830,5,6,1950,1997,788,988,1612,7,200,1
87000,765,0,5000,4,7,1925,1950,188,765,765,4,577,1
134000,608,524,6000,6,7,1939,1950,452,608,1132,5,144,1
128000,848,348,6000,6,6,1940,1950,264,572,1196,6,308,1
132000,955,498,6360,5,6,1942,1950,360,835,1453,7,316,1
139900,780,636,6000,6,7,1948,1950,300,780,1416,6,480,1
123900,548,492,6240,5,7,1936,1980,276,528,1040,5,252,1
138400,928,608,6240,5,5,1930,1950,448,928,1536,7,480,2
109500,1068,0,6120,6,5,1923,1950,960,1124,1068,5,164,1
140000,902,808,10300,7,6,1921,1950,0,576,1710,9,576,2
149500,888,1074,8094,4,5,1915,1950,0,888,1962,9,888,1
122000,662,662,3068,6,8,1920,1993,0,662,1324,6,662,1
110000,816,0,8472,5,5,1963,1963,104,816,816,5,0,1
140000,1032,780,7630,5,9,1900,1996,0,360,1812,8,360,2
173000,1675,0,15263,5,5,1959,1959,766,1422,1675,8,656,2
107500,725,499,10632,5,3,1917,1950,0,689,1224,6,689,1
95000,600,319,6001,6,5,1940,1950,368,600,919,5,232,1
114900,936,744,6048,5,7,1910,1950,736,856,1680,7,120,2
131500,1039,0,11625,5,4,1965,1965,841,1039,1039,6,198,1
125000,912,0,8521,5,5,1967,1967,842,912,912,5,70,1
137900,892,0,7800,5,7,1966,2008,240,864,892,5,150,1
158000,663,689,9364,6,7,1969,1969,371,663,1352,7,292,1
137250,864,0,7832,5,5,1968,1968,775,864,864,4,89,1
163000,720,720,11227,5,5,1968,1968,267,720,1440,7,0,1
328000,1306,954,14000,7,5,1996,1997,1201,1306,2260,7,105,2
85000,756,0,9259,4,4,1927,1950,0,660,756,4,660,1
128000,1067,0,9600,4,7,1950,1995,442,1067,1067,4,625,2
124000,1052,558,18600,3,4,1938,1990,288,972,1610,8,0,2
83000,835,0,10625,5,5,1920,1950,108,458,835,5,350,1
144500,1074,0,11479,6,7,1950,1987,104,663,1074,6,172,1
129000,1144,0,9571,5,6,1956,1956,739,1144,1144,6,405,1
127000,1169,0,9350,4,6,1947,1979,192,756,1531,8,564,1
128000,1172,0,9525,5,7,1954,1998,954,1172,1172,5,218,1
186000,1212,0,10420,6,5,2009,2009,36,1212,1212,6,1176,2
308030,1508,0,17485,7,5,2009,2010,1346,1508,1508,5,162,1
84900,930,0,11100,4,7,1946,2006,0,0,930,6,0,1
178000,977,755,9206,6,5,1985,1985,0,741,1732,7,741,2
270000,1433,0,11980,7,5,1987,1987,1433,1433,1433,4,0,1
218000,964,838,12361,6,7,1993,1993,860,946,1802,8,86,2
236000,1062,887,9938,7,5,1993,1994,750,1050,1949,8,300,2
147000,996,0,9069,6,6,1992,1992,747,936,996,5,189,1
245350,1694,0,10475,8,5,2008,2008,0,1694,1694,7,1694,2
206000,1208,0,6762,7,5,2006,2006,686,1187,1208,6,501,2
198900,1226,0,10402,7,5,2009,2009,0,1226,1226,6,1226,2
187000,1222,0,7360,7,5,2010,2010,24,1222,1222,6,1198,2
320000,1699,1523,12376,7,5,1990,1990,1470,1673,3222,11,203,3
138500,831,614,14235,6,8,1900,1993,0,676,1445,6,676,2
155000,1052,0,8816,6,7,1971,1971,504,1010,1052,6,506,1
159000,965,0,11105,5,5,1996,1996,870,870,965,4,0,1
200500,804,878,8750,6,5,1998,1998,505,804,1682,7,299,2
150000,1026,0,15240,5,8,1977,2004,198,1026,1026,5,140,1
128200,894,0,10650,5,6,1976,1976,182,894,894,5,0,1
127000,876,0,7480,5,6,1972,1972,480,876,876,5,396,1
318000,1978,0,10389,8,5,2003,2003,1682,1978,1978,8,296,2
237000,941,888,9548,7,6,2003,2003,483,941,1829,7,458,2
240000,1044,1054,9375,7,5,1997,1997,0,1040,2098,9,1040,2
224900,1661,0,12137,7,5,1998,1998,0,1649,1661,6,1649,2
232000,1668,0,10635,8,5,2003,2003,370,1657,1668,8,315,2
213000,1484,0,8400,7,5,2004,2005,712,1473,1484,7,761,2
185500,1414,0,8773,7,5,2004,2004,24,1414,1414,6,1390,2
84900,640,0,8777,3,6,1945,2007,0,0,640,5,0,1
155891,992,0,8842,5,6,1954,1954,0,381,992,6,381,1
144000,1196,0,10044,5,6,1968,1968,1070,1196,1196,6,126,1
64000,792,328,11792,4,5,1948,1950,0,744,1120,5,744,1
125200,1096,0,6305,6,6,1975,1975,528,1008,1096,5,480,1
107000,1117,0,7819,6,5,1976,1976,422,1029,1117,6,480,1
140000,1121,0,8546,4,5,2003,2004,0,1121,1121,5,1121,2
113000,798,689,8741,6,4,1945,1950,94,735,1487,7,641,1
80000,672,252,12180,4,4,1941,1950,348,672,924,5,324,1
144500,1526,0,8562,5,6,1957,2002,383,1216,1526,7,833,1
104000,1296,0,4853,5,6,1924,1999,133,1107,1296,5,974,2
128000,841,806,6858,6,4,1915,1950,0,806,1647,6,806,1
58500,864,0,8212,3,3,1914,1950,203,864,864,5,661,1
127000,1026,665,5000,5,6,1924,1950,218,1026,1691,6,808,2
169000,1699,748,9638,6,7,1919,1990,0,804,2447,10,804,2
257500,1225,908,10452,7,6,1941,1985,426,1528,2133,8,850,1
215000,1102,1075,15600,5,6,1950,1991,375,1032,2177,11,657,2
266500,1188,1152,9042,7,9,1941,2006,275,1152,2340,9,877,2
335000,1902,0,17500,7,8,1959,2002,1406,1902,1902,7,496,2
203135,896,756,19645,7,6,1994,2007,343,423,1652,6,80,2
185000,1034,0,3907,8,6,1989,1989,747,982,1034,4,235,1
162500,1191,0,3907,8,5,1989,1989,76,1191,1191,5,1115,2
289000,1801,0,15602,7,8,1959,1997,1247,1501,1801,6,254,2
125500,796,358,5436,4,8,1922,2007,735,796,1154,7,61,1
82000,540,0,8154,2,5,1941,1950,480,480,540,4,0,1
110000,727,380,9140,6,5,1921,1975,308,629,1107,5,321,1
68400,698,430,7500,4,4,1920,1950,0,698,1128,6,698,1
102776,859,319,8712,4,7,1900,1950,0,859,1178,7,859,1
55993,1044,0,8712,5,5,1952,1952,0,540,1044,4,540,1
50138,952,0,8712,4,7,1896,1950,0,756,952,5,756,1
246000,1646,0,3811,8,5,2004,2005,1373,1594,1646,5,221,2
254900,1036,880,11050,8,5,1998,1999,615,1049,1916,8,434,2
190000,1285,0,9620,6,7,1977,1977,679,1243,1285,6,564,2
201000,1560,0,9196,7,5,2003,2003,0,1560,1560,7,1560,2
220000,1346,0,11896,7,5,2008,2008,78,1336,1346,6,1258,2
179781,1214,0,9803,7,5,2009,2010,0,1214,1214,6,1214,2
174000,744,700,9802,5,5,2006,2007,0,384,1444,7,384,2
269500,774,1194,12003,8,5,2009,2010,0,774,1968,8,774,2
214900,824,1070,11316,7,5,2002,2003,624,817,1894,8,193,2
202900,993,915,14191,8,5,2002,2002,0,967,1908,9,967,2
378500,2018,0,13214,9,5,2008,2009,0,2002,2018,10,2002,2
169000,1264,0,15300,5,5,1965,1977,42,1068,1264,7,1026,1
173500,1430,0,10114,5,5,2004,2005,0,1430,1430,7,1430,2
119500,945,0,2394,5,6,1973,1973,915,945,945,5,30,1
85000,536,576,2592,5,3,1976,1976,129,536,1112,4,175,1
85500,546,546,1890,4,6,1972,1972,294,546,1092,5,252,1
130000,874,0,6953,5,7,1971,2004,469,864,874,5,395,1
149900,833,0,12887,5,7,1984,1984,207,833,833,5,36,1
159000,1216,1216,7700,5,2,1985,1986,0,1216,2432,10,1216,4
136000,624,650,10475,5,5,1991,1991,458,624,1274,6,166,1
161000,864,615,10544,5,5,1969,1969,476,864,1479,8,388,2
285000,1803,0,9892,8,5,1994,1995,1341,1679,1803,6,54,2
231000,1152,645,12961,6,5,1993,1994,944,1152,1797,7,208,2
124500,882,0,13008,6,5,1956,1956,564,882,882,5,318,1
157000,1434,0,10200,6,5,1974,1974,844,1434,1434,7,590,2
345000,2000,704,13860,8,7,1972,1995,1410,1952,2704,9,542,2
189500,945,663,10179,6,5,1997,1997,847,945,1608,7,98,2
189000,958,670,8400,7,5,1996,1997,284,384,1628,7,100,2
377500,1746,0,14892,9,5,2006,2007,1320,1746,1746,7,426,2
375000,2522,0,7296,8,5,2004,2005,1965,2208,2522,8,243,2
278000,1659,0,5664,8,5,2000,2000,1158,1501,1659,5,343,2
240000,1478,0,7380,8,5,1998,1998,341,1418,1478,5,1077,2
239500,1734,0,8013,8,5,1995,1996,741,1587,1734,6,846,2
177500,751,631,8923,7,5,1998,1998,189,384,1382,7,195,2
185000,885,833,10141,7,5,1998,1998,0,832,1718,7,832,2
191000,952,684,7500,6,5,1998,1999,476,952,1636,7,476,2
178000,799,772,7837,6,7,1993,1994,0,799,1571,7,799,2
166000,1190,0,7250,6,5,1993,1993,0,1181,1190,6,1181,2
174000,702,779,8125,6,5,1994,1995,0,702,1481,6,702,2
180500,1442,0,11851,7,5,1990,1990,0,1424,1442,5,1424,2
501837,2234,0,17423,9,5,2008,2009,1904,2216,2234,9,312,2
372500,2046,0,11844,8,5,2008,2008,0,2046,2046,7,2046,2
260000,1530,0,16158,7,5,2005,2005,1274,1530,1530,7,256,2
185000,946,988,11900,5,6,1977,1977,400,1122,1934,6,722,2
260000,1153,1200,13005,7,7,1980,1980,692,845,2353,10,153,2
181000,1586,0,17043,6,5,1979,1998,0,1362,1586,7,1362,2
82500,1411,0,11900,7,5,1977,1977,822,1386,1411,6,564,2
200000,1671,0,10928,6,6,1978,1986,363,1427,1671,7,1064,2
184000,1707,0,11088,6,5,1978,1998,832,1140,1707,7,308,2
278000,2524,0,9600,8,5,1981,1981,1104,2524,2524,9,1420,2
157000,1601,0,11880,7,5,1978,1978,704,1271,1601,7,567,2
152000,1370,0,10400,7,5,1976,1976,0,1090,1370,6,1090,2
240900,1016,868,7000,7,5,2003,2003,622,926,1884,7,304,2
263435,832,1103,8004,8,5,2009,2009,544,832,1935,8,288,2
167900,1116,0,10140,6,6,1974,1974,888,1116,1116,6,228,2
158000,1193,0,11050,7,5,1975,1975,636,1176,1193,5,540,2
165000,1350,0,10140,6,5,1974,1974,0,1064,1350,7,1064,2
156000,1026,0,7930,6,8,1969,2005,439,1026,1026,5,115,1
76500,864,0,7038,4,6,1970,1970,726,864,864,5,138,1
120500,864,0,6960,4,6,1970,1970,375,864,864,5,250,1
124500,864,0,8120,4,7,1970,1970,191,864,864,5,673,1
97000,864,0,10500,4,6,1971,1971,524,864,864,4,160,1
130000,864,0,9000,4,7,1971,2006,240,864,864,5,624,1
111000,483,504,1680,6,5,1973,1973,254,483,987,5,229,1
125000,765,600,2368,5,6,1970,1970,765,765,1365,7,0,1
112000,630,672,1680,5,5,1971,1971,0,630,1302,6,630,2
97000,483,504,1680,6,6,1972,1972,110,483,987,5,79,1
118000,483,504,1680,6,8,1972,2007,162,483,987,5,321,1
119500,630,672,1680,5,7,1972,1972,231,630,1302,6,399,2
146000,804,744,2308,6,5,1976,1976,306,804,1548,7,498,2
148500,855,601,2280,6,6,1976,1976,566,855,1456,7,289,2
123000,1055,0,2280,7,5,1975,1975,435,1057,1055,4,0,2
147000,855,467,2308,6,5,1974,1974,257,855,1322,6,103,2
137900,855,601,2349,6,5,1977,1977,389,855,1456,6,466,2
147000,804,744,2364,6,5,1978,1978,320,804,1548,7,484,2
148500,855,586,2289,6,6,1978,1978,311,855,1441,7,544,2
138000,855,601,2364,6,5,1978,1978,279,855,1456,6,576,2
128500,836,0,2104,7,6,1976,1976,536,836,836,5,300,1
100000,892,0,7150,5,5,1967,1967,432,892,892,5,460,1
337500,1718,0,12456,10,5,2006,2007,1172,1700,1718,7,528,2
462000,1794,978,14257,9,5,2007,2007,1360,1776,2772,10,416,3
485000,1966,1174,13518,9,5,2008,2009,0,1926,3140,11,1926,3
555000,2402,0,15431,10,5,2008,2008,1767,3094,2402,10,788,2
325000,1652,0,13173,9,5,2006,2007,1572,1652,1652,6,80,2
256300,1600,0,14230,8,5,2007,2007,0,1566,1600,7,1566,2
253293,2042,0,12704,8,5,2008,2009,0,2042,2042,8,2042,2
398800,1365,1325,12350,9,5,2009,2009,986,1365,2690,8,379,2
335000,1130,1054,11308,9,5,2008,2008,936,1104,2184,10,168,2
404000,2020,0,12350,9,5,2008,2008,1232,2020,2020,7,788,2
402861,2020,0,12220,10,5,2009,2009,1436,2006,2020,9,570,2
451950,1728,568,13478,10,5,2008,2008,1338,1722,2296,10,384,2
610000,2674,0,13693,10,5,2007,2007,2288,2630,2674,8,342,2
582933,1734,1088,13891,9,5,2008,2009,0,1734,2822,12,1734,3
360000,1736,0,11578,9,5,2008,2008,0,1736,1736,7,1736,2
296000,1782,0,16870,8,5,2004,2005,1531,1782,1782,7,251,2
409900,1508,1012,23303,8,5,2007,2007,1230,1508,2520,10,278,2
255500,1717,0,11146,8,5,2006,2006,0,1709,1717,7,1709,2
335000,1743,0,10367,9,5,2008,2008,1015,1739,1743,8,724,2
274900,1713,0,9591,8,5,2004,2005,1088,1713,1713,7,625,2
300000,1531,0,10872,9,5,2006,2006,1037,1504,1531,6,467,2
324000,1808,0,13514,9,5,2008,2008,1142,1774,1808,7,632,2
350000,1462,762,8834,9,5,2004,2005,1170,1462,2224,10,292,2
280000,1836,0,11362,8,5,2004,2005,1039,1836,1836,7,797,2
269500,1760,0,12878,7,5,2003,2004,1262,1760,1760,8,498,2
233170,1502,0,9541,7,5,2009,2009,0,1502,1502,7,1502,2
386250,2392,0,13472,10,5,2003,2003,56,2392,2392,8,2336,2
445000,2452,0,15274,9,5,2003,2003,1972,2452,2452,10,480,2
290000,1105,1295,13262,8,5,2003,2004,0,1082,2400,10,1082,3
255900,1606,0,9658,8,5,2006,2006,0,1598,1606,6,1598,2
213000,1358,0,6904,6,5,2005,2005,836,1358,1358,6,522,2
196000,1306,0,5381,6,5,2005,2005,900,1306,1306,5,406,2
184500,1306,0,5122,6,5,2005,2005,881,1306,1306,5,425,2
212500,1358,0,10307,7,5,2007,2008,876,1350,1358,6,474,2
230000,1314,0,5001,7,5,2007,2008,904,1314,1314,6,410,2
552000,2492,0,14836,10,5,2004,2005,2146,2492,2492,8,346,2
382500,2200,0,15262,8,5,2003,2004,1557,2200,2200,8,643,2
320000,1884,0,7390,9,5,2008,2009,800,1884,1884,6,1084,2
248500,1456,0,6472,9,5,2008,2008,0,1451,1456,6,1451,2
286500,1712,0,16770,8,5,2002,2003,1196,1712,1712,8,516,2
254000,1324,0,6240,8,5,2006,2006,863,1324,1324,6,461,2
173000,1405,0,3480,7,5,2003,2003,0,1405,1405,6,1405,2
173000,764,862,2268,7,5,2003,2004,567,764,1626,6,197,2
184000,728,728,10928,7,5,2005,2005,0,728,1456,8,728,2
167800,745,745,8918,6,5,2005,2006,0,745,1490,7,745,2
174000,742,742,12589,6,5,2005,2005,0,742,1484,8,742,2
174000,684,876,11911,6,5,2005,2005,0,684,1560,6,684,2
174000,1555,0,3684,7,5,2007,2007,0,1373,1555,7,1373,2
175900,1569,0,3635,7,5,2007,2007,988,1386,1569,7,398,2
192500,1555,0,3182,7,5,2005,2006,16,1373,1555,7,1357,2
181000,1504,0,3182,7,5,2005,2006,16,1346,1504,7,1330,2
180000,1220,0,3182,7,5,2005,2006,16,1220,1220,5,1204,2
160200,1145,0,3182,7,5,2005,2006,16,1145,1145,5,1129,2
188500,716,716,7795,7,5,2004,2005,425,716,1432,6,291,2
170000,744,630,9434,7,5,2004,2005,0,384,1374,6,384,2
189500,868,762,7984,7,5,2004,2005,0,868,1630,7,868,2
195500,846,748,10125,7,5,2004,2004,0,846,1594,7,846,2
207500,1314,0,5063,7,5,2007,2008,904,1314,1314,6,410,2
167000,744,630,9734,7,5,2004,2004,241,384,1374,7,30,2
179000,1007,793,8123,6,5,2000,2000,0,982,1800,7,982,2
190000,819,695,8433,6,5,2000,2000,683,794,1514,7,111,2
156000,774,656,7750,7,5,1999,2000,0,384,1430,7,384,2
168000,774,656,7848,7,6,1999,1999,0,384,1430,7,384,2
337000,1268,1097,9430,8,5,1999,1999,1163,1252,2365,8,89,2
403000,1490,1304,15138,8,5,1995,1996,689,1462,2794,9,773,2
327000,1466,1221,12720,8,5,2000,2000,1173,1455,2687,10,282,2
336000,1276,1336,12203,8,5,1998,1999,854,1225,2612,8,371,2
265000,1277,1067,10208,7,5,1996,1997,0,1264,2344,7,1264,2
260000,1372,1274,9900,7,5,1993,1993,987,1347,2646,9,360,2
260000,1094,967,9085,7,5,1995,1996,816,1070,2061,7,254,2
402000,1686,762,46589,8,7,1994,2005,1361,1629,2448,8,88,2
244600,1468,0,9612,8,5,2008,2009,0,1468,1468,6,1468,2
275000,1696,0,11194,8,5,2008,2008,0,1696,1696,7,1696,2
257500,1658,0,10206,8,5,2008,2008,0,1614,1658,7,1614,2
287090,1578,0,9262,8,5,2008,2009,0,1573,1578,7,1573,2
